time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
0.00000000e+00,9.30187912e+01,1.83671448e+02,9.87281442e-01,3.50728226e+01,2.37301454e-01,1.22002698e-01,3.12500000e-02
5.89048623e-01,9.29191132e+01,1.57469208e+02,8.47345591e-01,3.41192894e+01,8.62550557e-01,1.28684640e-01,2.80597322e-02
1.17809725e+00,9.86744843e+01,1.34787308e+02,6.82989657e-01,3.46043777e+01,1.04492140e+00,1.54890046e-01,2.12497842e-02
1.76714587e+00,1.09557709e+02,1.25864273e+02,5.74419975e-01,3.76421204e+01,1.22152972e+00,1.90207466e-01,1.46288909e-02
2.35619449e+00,1.23698982e+02,1.30524704e+02,5.27590036e-01,4.30514488e+01,1.49038970e+00,1.94951668e-01,9.79830138e-03
2.94524311e+00,1.37933411e+02,1.40771927e+02,5.10289431e-01,4.96413498e+01,1.79495621e+00,1.93864271e-01,6.74173655e-03
2.97469554e+00,1.38592316e+02,1.41054260e+02,5.08881986e-01,4.99790916e+01,1.79210210e+00,1.94184631e-01,6.62554754e-03
