time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
0.00000000e+00,6.04694523e-03,7.98926037e-03,6.60602987e-01,2.19781068e-03,9.09802079e-01,1.60822690e-01,2.91845878e-04
5.89048623e-01,5.76916011e-03,7.62233697e-03,6.60610676e-01,2.09667068e-03,9.09482300e-01,1.60708144e-01,3.00328829e-04
1.17809725e+00,5.50881447e-03,7.27841863e-03,6.60615742e-01,2.00189021e-03,9.09239292e-01,1.60594612e-01,3.08887073e-04
1.76714587e+00,5.26452670e-03,6.95570884e-03,6.60620511e-01,1.91296486e-03,9.08959508e-01,1.60480931e-01,3.17517493e-04
2.35619449e+00,5.03504649e-03,6.65255450e-03,6.60624921e-01,1.82943803e-03,9.08144176e-01,1.60363793e-01,3.26216104e-04
2.94524311e+00,4.81924089e-03,6.36742264e-03,6.60625041e-01,1.75089575e-03,9.08097863e-01,1.60245568e-01,3.34980083e-04
2.97469554e+00,4.80879005e-03,6.35361392e-03,6.60624981e-01,1.74709270e-03,9.08122599e-01,1.60239756e-01,3.35419754e-04
