time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
0.00000000e+00,2.30630700e-04,3.10860516e-04,6.73935652e-01,8.48265190e-05,8.99333835e-01,1.63512796e-01,2.97682971e-04
5.89048623e-01,1.84396296e-04,2.48471508e-04,6.73743248e-01,6.78851575e-05,8.98353219e-01,1.63001671e-01,3.39233637e-04
1.17809725e+00,1.50151507e-04,2.02351890e-04,6.73825741e-01,5.53196587e-05,8.97602201e-01,1.62501931e-01,3.82300961e-04
1.76714587e+00,1.24173836e-04,1.67403778e-04,6.74070299e-01,4.57753013e-05,8.96941900e-01,1.62044615e-01,4.26767336e-04
2.35619449e+00,1.04064180e-04,1.40364253e-04,6.74411893e-01,3.83785446e-05,8.95963430e-01,1.61707655e-01,4.72473766e-04
2.94524311e+00,8.82234599e-05,1.19069438e-04,6.74817324e-01,3.25465007e-05,8.94708037e-01,1.61523461e-01,5.19232126e-04
2.97469554e+00,8.75222031e-05,1.18126649e-04,6.74838185e-01,3.22882079e-05,8.94691050e-01,1.61518380e-01,5.21594018e-04
