time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
8.39394287e+00,1.47330139e+03,1.61048792e+03,5.46557546e-01,9.07214844e+02,1.42600942e+00,2.55046427e-01,6.51256705e-05
8.61483610e+00,1.50984241e+03,1.62760706e+03,5.38998961e-01,9.43824463e+02,1.43341959e+00,2.64834017e-01,6.02511318e-05
8.83572934e+00,1.53735217e+03,1.67377563e+03,5.44369638e-01,9.72495117e+02,1.44023383e+00,2.77585000e-01,5.64458460e-05
9.05662257e+00,1.52557568e+03,1.55981396e+03,5.11221409e-01,9.46792603e+02,1.46410573e+00,3.10868949e-01,5.62921196e-05
9.27751581e+00,1.46026111e+03,1.45584827e+03,4.98489052e-01,8.70320312e+02,1.45968127e+00,3.24755758e-01,5.89295487e-05
9.49840904e+00,1.38464185e+03,1.42057971e+03,5.12977302e-01,8.05796509e+02,1.46418178e+00,3.20174873e-01,6.12775184e-05
9.71930227e+00,1.32227332e+03,1.40671692e+03,5.31931221e-01,7.67138306e+02,1.46864331e+00,3.03292125e-01,6.36994082e-05
9.94019551e+00,1.28124792e+03,1.36805457e+03,5.33875823e-01,7.45782959e+02,1.50228763e+00,2.86595196e-01,6.50691218e-05
1.01610887e+01,1.25488892e+03,1.34614172e+03,5.36358953e-01,7.33381897e+02,1.48751819e+00,2.75690168e-01,6.54592804e-05
1.03819820e+01,1.22938745e+03,1.31242554e+03,5.33772171e-01,7.16658203e+02,1.50427639e+00,2.65054315e-01,6.61070808e-05
1.06028752e+01,1.19543652e+03,1.28354321e+03,5.36851287e-01,6.91239319e+02,1.51586664e+00,2.63935864e-01,6.76383206e-05
1.08237684e+01,1.15098364e+03,1.21296167e+03,5.26923895e-01,6.55370117e+02,1.50464427e+00,2.64286429e-01,6.99433585e-05
1.10446617e+01,1.09953662e+03,1.13345312e+03,5.15423119e-01,6.19236877e+02,1.51865411e+00,2.62762278e-01,7.15156857e-05
1.12655549e+01,1.04389001e+03,1.10572205e+03,5.29616177e-01,5.79410889e+02,1.51799500e+00,2.75123686e-01,7.33577544e-05
1.14864481e+01,9.90642883e+02,1.04615137e+03,5.28016388e-01,5.44012329e+02,1.53300416e+00,2.74135858e-01,7.57354719e-05
1.17073414e+01,9.51436218e+02,9.80878723e+02,5.15472651e-01,5.21716003e+02,1.53117800e+00,2.67717510e-01,7.73346837e-05
1.19282346e+01,9.23554749e+02,9.53526001e+02,5.16226053e-01,5.04643311e+02,1.52893686e+00,2.60147244e-01,7.86571472e-05
1.21491278e+01,8.98188477e+02,9.22316406e+02,5.13431489e-01,4.88636536e+02,1.53757894e+00,2.63812572e-01,7.99800546e-05
1.23700211e+01,8.70250549e+02,8.93476318e+02,5.13344347e-01,4.72167572e+02,1.53518629e+00,2.62256116e-01,8.15469466e-05
1.25909143e+01,8.40395142e+02,8.76541992e+02,5.21505892e-01,4.56539093e+02,1.52441394e+00,2.58503377e-01,8.31402504e-05
1.28118075e+01,8.10287781e+02,8.41436462e+02,5.19220769e-01,4.42428772e+02,1.52973521e+00,2.62016326e-01,8.43659436e-05
1.30327008e+01,7.77897156e+02,8.03577881e+02,5.16506493e-01,4.27757782e+02,1.54397321e+00,2.64624745e-01,8.56246406e-05
1.32535940e+01,7.43294312e+02,7.56003235e+02,5.08549035e-01,4.06868774e+02,1.55961728e+00,2.64234781e-01,8.73505778e-05
1.34744872e+01,7.07707458e+02,6.99471497e+02,4.94181216e-01,3.80792603e+02,1.55164766e+00,2.68118978e-01,9.06838832e-05
1.36953805e+01,6.71956299e+02,6.52093445e+02,4.85220134e-01,3.53657410e+02,1.56470418e+00,2.67820507e-01,9.59121826e-05
1.39162737e+01,6.37596680e+02,6.11124756e+02,4.79240865e-01,3.27622589e+02,1.58153617e+00,2.69894212e-01,1.02417835e-04
1.41371669e+01,6.05219421e+02,5.82904968e+02,4.81564999e-01,3.04393768e+02,1.56559491e+00,2.71813035e-01,1.10004556e-04
1.43580602e+01,5.74241760e+02,5.54404480e+02,4.82727408e-01,2.83756470e+02,1.57301044e+00,2.78537244e-01,1.18265023e-04
1.45789534e+01,5.44977051e+02,5.27642639e+02,4.84096199e-01,2.65060150e+02,1.56069982e+00,2.85921872e-01,1.26256011e-04
1.47998466e+01,5.17726440e+02,5.04010406e+02,4.86753583e-01,2.48128342e+02,1.53075850e+00,2.91819155e-01,1.33853828e-04
1.49912874e+01,4.95873993e+02,4.87801178e+02,4.91860032e-01,2.35340958e+02,1.52712417e+00,2.93824226e-01,1.39776355e-04
